"MonitoringLocationIdentifier","State","MonitoringLocationName","MonitoringLocationTypeName","LatitudeMeasure","LongitudeMeasure"
"USGS-463138110580001","Montana",NA,"Stream",46.52708889,-110.9666306
"USGS-06076600","Montana",NA,"Stream",46.7033611,-111.192225
"USGS-06076560","Montana",NA,"Stream",46.59105,-111.0576861
"USGS-06075900","Montana",NA,"Stream",46.5868872,-111.054665
"USGS-06076550","Montana",NA,"Stream",46.59188755,-111.0491093
"USGS-06075785","Montana",NA,"Stream",46.52327426,-110.9563249
"USGS-06076580","Montana",NA,"Stream",46.63244447,-111.0916123
"USGS-464033111083501","Montana",NA,"Stream",46.67577878,-111.1438378
"USGS-464508111100301","Montana",NA,"Stream",46.75230556,-111.1675278
"USGS-464430111130201","Montana",NA,"Stream",46.74175,-111.2170833
"USGS-06076690","Montana",NA,"Stream",46.7958,-111.1785556
"USGS-464506111095801","Montana",NA,"Stream",46.75163889,-111.1660278
"USGS-06076590","Montana",NA,"Stream",46.6784861,-111.1939194
"USGS-463504111154601","Montana",NA,"Stream",46.58434167,-111.2626806
"USGS-464753110542301","Montana",NA,"Stream",46.79805556,-110.9063889
"USGS-463605111120501","Montana",NA,"Stream",46.6014194,-111.2012667
"MDEQ_WQ_WQX-M11BELTC70","Montana","Belt Creek off Hwy 89","River/Stream",47.04308,-110.79143
"MDEQ_WQ_WQX-M10SHEPC06","Montana","Sheep Creek about 1 mile upstream of Moose Creek","River/Stream",46.79281,-110.91112
"MDEQ_WQ_WQX-M10MOOSC07","Montana","Moose Creek at Moose Creek Campground","River/Stream",46.8339,-110.8767
"MTNWE-MM-10","Montana","Missouri River downstream from Great Falls Dams","River/Stream",47.58168,-111.06024
"MTNWE-MM-9","Montana","Missouri River at Central Ave Bridge, upstream from Great Falls Reservoirs","River/Stream",47.50678,-111.31251
"MTVOLWQM_WQX-MO_CASCADE","Montana","Missouri River at Cascade FAS","River/Stream",47.28062,-111.69113
"MTVOLWQM_WQX-MO_CRAIG","Montana","Missouri River side channel upstream from Lone Tree FAS","River/Stream",47.05415,-111.96701
"MTVOLWQM_WQX-MO_DEAR_DS","Montana","Missouri River downstream confluence with Dearborn River","River/Stream",47.12791,-111.9109
"MTVOLWQM_WQX-MO_DEAR_US","Montana","Missouri River upstream confluence with Dearborn River","River/Stream",47.12819,-111.91174
"MTVOLWQM_WQX-MO_HARDY","Montana","Missouri River upstream of Sheep Creek at Hardy Bridge","River/Stream",47.16781,-111.83366
"MTVOLWQM_WQX-MO_LPPC_DS","Montana","Missouri River downstream confluence with Little Prickly Pear Creek","River/Stream",47.02345,-112.01523
"MDEQ_WQ_WQX-M13SUNR64","Montana","Sun River below Pishkun Canal","River/Stream",47.61764,-112.69146
"MTWTRSHD_WQX-SUN-ADBEC01","Montana","Adobe Creek at Fort Shaw","River/Stream",47.509722,-111.799167
