"MonitoringLocationIdentifier","State","MonitoringLocationName","MonitoringLocationTypeName","AU_ID","AU_NAME","DrinkingWater_Use","Ecological_Use","FishConsumption_Use","Recreational_Use","Other_Use","Dist_to_AU_m","LongitudeMeasure","LatitudeMeasure"
"USGS-06075900","Montana",NA,"Stream","MT41J001_010","Smith River","Fully Supporting","Not Supporting",NA,"Not Supporting","Fully Supporting",201.316878415205,-111.054665000002,46.5868872000013
"USGS-06075785","Montana",NA,"Stream","MT41J002_011","North Fork Smith River","Fully Supporting","Fully Supporting",NA,"Not Supporting","Not Assessed",690.587108516265,-110.956324900002,46.5232742600013
"USGS-464506111095801","Montana",NA,"Stream","MT41J001_010","Smith River","Fully Supporting","Not Supporting",NA,"Not Supporting","Fully Supporting",128.877001930651,-111.166027800002,46.7516388900013
"USGS-463504111154601","Montana",NA,"Stream","MT41J002_060","Elk Creek","Fully Supporting","Not Supporting",NA,"Fully Supporting","Fully Supporting",3603.59852209783,-111.262680600002,46.5843416700013
"MTVOLWQM_WQX-MO_DEAR_DS","Montana","Missouri River downstream confluence with Dearborn River","River/Stream","MT41Q003_010","Dearborn River","Fully Supporting","Not Supporting",NA,"Not Assessed","Fully Supporting",28.9026455337673,-111.910900000002,47.1279100000013
"MTWTRSHD_WQX-SUN-ADBEC01","Montana","Adobe Creek at Fort Shaw","River/Stream","MT41K001_010","Sun River","Fully Supporting","Not Supporting",NA,"Fully Supporting","Fully Supporting",789.429912920698,-111.799167000002,47.5097220000012
"MTWTRSHD_WQX-SUN-DUCKC01","Montana","Duck Creek at county road","River/Stream","MT41K001_010","Sun River","Fully Supporting","Not Supporting",NA,"Fully Supporting","Fully Supporting",398.733898192795,-111.886111000002,47.5161110000012
"MTWTRSHD_WQX-SUN-MILCU01","Montana","Mill Coulee at highway","River/Stream","MT41K002_040","Huber Coulee","Not Assessed","Not Assessed",NA,"Not Supporting","Not Assessed",957.751697816886,-111.709167000002,47.5450000000012
"MTVOLWQM_WQX-HAB-MISSRBWB","Montana","Missouri River near Broadwater Bay","River/Stream","MT41Q001_011","Missouri River","Not Supporting","Not Supporting",NA,"Fully Supporting","Fully Supporting",165.84460766063,-111.307761000002,47.4999640000012
"MDEQ_WQ_WQX-M14GRENG03","Montana","Green Gulch near mouth","River/Stream","MT41O002_050","North Fork Teton River","Fully Supporting","Fully Supporting",NA,"Fully Supporting","Fully Supporting",4239.0372850057,-112.757410000002,47.8568200000012
